
ability ความสามารถ
able เก่ง
about ประมาณ
above เบื่องต้น
abroad แพร่หลาย
absolutely ทีเดียว
abuse หลอกลวง
accept ตกลง
acceptable เห็นด้วย
access ทางเข้า
accident บังเอิญ
account รายงาน
accurate แม่นยํา
accuse กล่าวหา
achieve ได้รับ
across ข้าม
act อํานาจ
action ขั้นตอน
active คล่อง
activity กิจกรรม
actual แท้จริง
ad โฆษณา
adapt ดัดแปลง
add เพิ่ม
address ที่อยู่
adjust ปรับปรุง
admire ชอบใจ
admit ยอมรับ
adopt เลือก
adult ผู้ใหญ่
advance ก้าวหน้า
advanced ดึก
advantage เปรียบ
advertising โฆษณา
advice คําแนะนํา
affair เหตุการณ์
affect อารมณ์
afford ให้
afraid กลัว
after แสวงหา
afternoon บ่าย
again อีก
against ตรงกันข้าม
age เก่า
agency กําลัง
agent ตัวแทน
aggressive ก้าวร้าว
ago ก่อน
agree ยินยอม
agreement ข้อตกลง
ahead หน้า
air เผย
airport สนามบิน
alarm ตกใจ
alcohol แอลกอฮอล
alive ร่าเริง
all ที่สุด
allow โปรด
almost เกือบ
alone เดี่ยว
along ระหว่าง
already แล้ว
also โดยเฉพาะ
alternative ทางเลือก
although ถึง
altogether ทั้งสิ้น
altogether ทั้งหมด
always เสมอ
among กลาง
amount จํานวน
and และ
anger โกรธ
angle เหลี่ยม
angry โกรธ
animal สัตว์
another อีก
bag ถุง
bake อบ
balance สมดุล
ball บอล
band แถบ
bank ธนาคาร
bar รั้ว
base ฐาน
basic ประถม
battle ต่อสู้
beach ชายหาด
bear พบ
beat กระทบ
beautiful สวย
because เพราะ
become เป็น
bed แปลง
beer เบียร์
before ก่อน
begin เริ่มต้น
behind หลัง
believe เชื่อ
bell ระฆัง
benefit ประโยชน์
bend งอ
better ส่วนใหญ
between เชื่อม
bike จักรยาน
bicycle จักรยาน
bite ติด
bitter ยิ่ง
board ที่พัก
box กล่อง
break หยุด
breast อารมณ์
breath กลิ่น
brown น้ำตาล
brush แปรง
build ก่อสร้าง
business ธุระ
busy ยุ่ง
calendar บันทึก
call โทรศัพท์
calm ใจเย็น
camera กล้อง
camp ค่าย 
capital ต้นทุน
card การ์ด
care ดูแล
careful ละเอียด
carpet ปกคลุม
carry ผลักดัน
case กรณี
celebrate เฉลิม
cigarette บุหรี่
